"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_regression_case","tests.pytest","Wed Nov 12 12:36:26 UTC 2025","passed","Wed Nov 12 12:36:26 UTC 2025","","test_markers","",""
"","1437","User login with wrong email or password","tests.authentication","Wed Nov 12 12:36:19 UTC 2025","passed","Wed Nov 12 12:36:20 UTC 2025","TestAuthorization","test_authorization","",""
"","1360","Navigation from login page to registration page","tests.authentication","Wed Nov 12 12:36:19 UTC 2025","passed","Wed Nov 12 12:36:21 UTC 2025","TestAuthorization","test_authorization","",""
"","1350","Check displaying of empty courses list","tests.courses","Wed Nov 12 12:36:22 UTC 2025","passed","Wed Nov 12 12:36:24 UTC 2025","TestCourses","test_courses","",""
"","2000","User login with wrong email or password","tests.authentication","Wed Nov 12 12:36:15 UTC 2025","passed","Wed Nov 12 12:36:17 UTC 2025","TestAuthorization","test_authorization","",""
"","1654","Check displaying of dashboard page","tests.dashboard","Wed Nov 12 12:36:24 UTC 2025","passed","Wed Nov 12 12:36:26 UTC 2025","TestDashboard","test_dashboard","",""
"","0","test_critical_login","tests.pytest","Wed Nov 12 12:36:26 UTC 2025","passed","Wed Nov 12 12:36:26 UTC 2025","","test_markers","",""
"","1628","User login with wrong email or password","tests.authentication","Wed Nov 12 12:36:18 UTC 2025","passed","Wed Nov 12 12:36:19 UTC 2025","TestAuthorization","test_authorization","",""
"","3241","User login with correct email and password","tests.authentication","Wed Nov 12 12:36:15 UTC 2025","passed","Wed Nov 12 12:36:18 UTC 2025","TestAuthorization","test_authorization","",""
"","0","test_logout","tests.pytest","Wed Nov 12 12:36:26 UTC 2025","passed","Wed Nov 12 12:36:26 UTC 2025","TestUserAuthentication","test_markers","",""
"","2309","Create course","tests.courses","Wed Nov 12 12:36:24 UTC 2025","passed","Wed Nov 12 12:36:26 UTC 2025","TestCourses","test_courses","",""
"","0","test_password_reset","tests.pytest","Wed Nov 12 12:36:26 UTC 2025","passed","Wed Nov 12 12:36:26 UTC 2025","TestUserAuthentication","test_markers","",""
"","1570","Registration with correct email, username and password","tests.authentication","Wed Nov 12 12:36:20 UTC 2025","passed","Wed Nov 12 12:36:22 UTC 2025","TestRegistration","test_registration","",""
"","0","test_forgot_password_link","tests.pytest","Wed Nov 12 12:36:26 UTC 2025","passed","Wed Nov 12 12:36:26 UTC 2025","TestUserInterface","test_markers","",""
"","1","test_login","tests.pytest","Wed Nov 12 12:36:26 UTC 2025","passed","Wed Nov 12 12:36:26 UTC 2025","TestUserAuthentication","test_markers","",""
